Everything run on same sub_chromosome 5 times. Different error introduced.
|Sequence Length|	|Error|	|Score|	|Best Rotated Score|
1000	0	98	98
1000	1	47	48
1000	2	35	35
1000	3	29	29
1000	4	27	27
1000	5	25	25
1000	6	24	24
1000	7	23	23
1000	8	23	23
1000	9	23	23
1000	10	22	22
1000	11	22	22
1000	12	22	22
1000	13	22	22
1000	14	22	22
1000	15	22	22
1000	16	22	22
1000	17	22	22
1000	18	22	22
1000	19	22	22
1000	20	22	22
1000	21	22	22
1000	22	22	22
1000	23	22	22
1000	24	22	22
1000	25	22	22
1000	26	22	22
1000	27	22	22
1000	28	22	22
1000	29	22	22
1000	30	22	22
1000	31	22	22
1000	32	22	22
1000	33	22	22
1000	34	22	22
1000	35	22	22
1000	36	22	22
1000	37	22	22
1000	38	22	22
1000	39	22	22
1000	40	22	22
1000	41	22	22
1000	42	22	22
1000	43	22	22
1000	44	22	22
1000	45	22	22
1000	46	22	22
1000	47	22	22
1000	48	22	22
1000	49	22	22
1000	50	22	22
1000	51	22	22
1000	52	22	22
1000	53	22	22
1000	54	22	22
1000	55	22	22
1000	56	22	22
1000	57	22	22
1000	58	22	22
1000	59	22	22
1000	60	22	22
1000	61	22	22
1000	62	22	22
1000	63	22	22
1000	64	22	22
1000	65	22	22
1000	66	22	22
1000	67	22	22
1000	68	22	22
1000	69	22	22
1000	70	22	22
1000	71	22	22
1000	72	22	22
1000	73	22	22
1000	74	22	22
1000	75	22	22
1000	76	22	22
1000	77	22	22
1000	78	22	22
1000	79	22	22
1000	80	22	22
1000	81	22	22
1000	82	22	22
1000	83	22	22
1000	84	22	22
1000	85	22	22
1000	86	22	22
1000	87	22	22
1000	88	22	22
1000	89	22	22
1000	90	22	22
1000	91	22	22
1000	92	22	22
1000	93	22	22
1000	94	22	22
1000	95	22	22
1000	96	22	22
1000	97	22	22
1000	98	22	22
1000	99	22	22
1000	100	22	22
