Everything run on same sub_chromosome 5 times. Different coverage introduced.
|Sequence Length|	|Coverage|	|Score|	|Best Rotated Score|
1000	1	63	67
1000	2	81	85
1000	3	88	92
1000	4	93	95
1000	5	96	96
1000	6	96	96
1000	7	98	98
1000	8	97	97
1000	9	98	98
1000	10	98	98
1000	11	98	98
1000	12	99	99
1000	13	99	99
1000	14	99	99
1000	15	99	99
1000	16	99	99
1000	17	99	99
1000	18	99	99
1000	19	99	99
1000	20	99	99
1000	21	99	99
1000	22	99	99
1000	23	99	99
1000	24	99	99
1000	25	99	99
1000	26	99	99
1000	27	99	99
1000	28	99	99
1000	29	99	99
